valor,familia,sinal
-0.27917041170010876,1,1
-1.82657861766098,1,1
-1.0018721524246295,1,1
0.38381551187796925,1,1
0.9955612717158288,1,1
-0.06286799686227194,1,1
0.41996199791100974,1,1
2.006225343708798,1,1
1.587970251484492,1,1
1.8506275572180473,1,1
0.12694533284411083,1,1
0.5388193846603611,1,1
-0.038417500773203446,1,1
1.0037701585191117,1,1
1.812756461052802,1,1
0.4327423919791179,1,1
0.025622800197050835,1,1
0.3729682712413739,1,1
-0.5303696338587851,1,1
-1.2113746591213108,1,1
-0.02697371024730787,1,1
-1.2982213492885255,1,1
0.21929059926534103,1,1
0.5877034260366011,1,1
0.04144504123737808,1,1
-1.2919052566225189,1,1
-0.5971435898341506,1,1
-0.07764779040026319,1,1
0.8366578193992737,1,1
0.9059237218278785,1,1
0.6147242587658396,1,1
-0.5051365384245463,1,1
-1.1912965754425677,1,1
-1.2495942480067557,1,1
-0.8820268137508012,1,1
0.4186858895069711,1,1
-0.2320899171628465,1,1
-0.4993906019987384,1,1
-1.066773358381735,1,1
-0.2975700817470963,1,1
0.5575740199473554,1,1
0.2344441881069843,1,1
0.20562365183489054,1,1
-0.5112880244332636,1,1
-0.34856086640135286,1,1
0.2348825917217436,1,1
-0.2587405041110754,1,1
-0.06474035555438774,1,1
0.18900620855766945,1,1
-0.5094800792693601,1,1
-0.4273872141013812,1,1
0.5715021200236755,1,1
0.4356942716690354,1,1
-0.07957817567078401,1,1
-0.18018271061600052,1,1
-0.026989557145606684,1,1
-0.8653098791626925,1,1
-1.6303420631742784,1,1
-1.108891645224477,1,1
-2.3598861912555793,1,1
-1.5939796929854142,1,1
-1.2126968469495178,1,1
-0.1420730220846892,1,1
-0.6559564338826863,1,1
-0.6554948639627467,1,1
-1.7936651798313348,1,1
-2.4478962796755748,1,1
-1.2406835169085506,1,1
-1.4564731593888596,1,1
-1.088630231866678,1,1
-1.139763217691555,1,1
-0.9983707338168089,1,1
-1.1203746625047413,1,1
-2.3557084604526595,1,1
-1.6212050803897118,1,1
0.2272082222272766,1,1
-0.22214415201748247,1,1
-0.5002956700336911,1,1
-0.018762731607400458,1,1
-0.4952077938708397,1,1
-0.11512945013812753,1,1
-1.1349694035632463,1,1
-0.3464469853393799,1,1
-0.5123690400841259,1,1
-1.1039430405752897,1,1
-1.8284764145714436,1,1
-1.4521913847645038,1,1
-1.3720744153292068,1,1
-0.9020789198802475,1,1
-0.9397232223958113,1,1
-0.6279917448872386,1,1
-0.4042891297825934,1,1
0.49285820318929324,1,1
0.8106384194805634,1,1
-0.16980536254981626,1,1
-0.18283269558966347,1,1
-1.440198894868006,1,1
-0.6939965242849087,1,1
-1.3729933679317805,1,1
-2.1313926653742024,1,1
-1.616751816636568,1,1
0.1834795879432965,1,1
-0.32420745974875015,1,1
0.7902202736052854,1,1
-0.6867751405494991,1,1
0.13720144097635772,1,1
0.5775718492186322,1,1
-0.4492598805561388,1,1
0.2569353215809228,1,1
0.8037907545983621,1,1
0.03460579549433542,1,1
-0.8449886389609977,1,1
-0.2595556659768935,1,1
0.5972202177492186,1,1
0.9800619117715659,1,1
-0.2689426550556122,1,1
1.1741881097070186,1,1
0.25662742520742926,1,1
-0.14829608327967284,1,1
0.2671875557863967,1,1
0.6497620212607343,1,1
0.25538134916786864,1,1
0.2717703330134832,1,1
1.1221744889707397,1,1
0.7384650775760303,1,1
0.7714689525340267,1,1
0.37439231497198394,1,1
0.4587843516024672,1,1
-0.3176342576248582,1,1
-0.7467074184535921,1,1
-0.857186301862998,1,1
-0.9033995662069949,1,1
-0.2817437797544169,1,1
-0.9838934141361808,1,1
0.3268124040249119,1,1
1.1209558461097375,1,1
0.9963041556667283,1,1
-0.3878796324748176,1,1
-0.037717958342124665,1,1
-0.19805541081190614,1,1
0.4233097893046159,1,1
-1.5842723395904135,1,1
-3.1262823763692014,1,1
-0.43333467746885423,1,1
-0.3502878111921105,1,1
0.5185643986831365,1,1
-0.6556266678630395,1,1
0.7399824539879329,1,1
-0.4229468707393804,1,1
0.614914181878895,1,1
0.03391770624276457,1,1
-0.20234641682757476,1,1
-0.30106224095986517,1,1
1.8929368980604224,1,1
2.1324675244393494,1,1
0.8758076707277296,1,1
0.6144912160321393,1,1
0.7684859453784847,1,1
1.9732403493899369,1,1
0.2774094640218808,1,1
0.03508548899664676,1,1
0.34518433308523117,1,1
0.5029297847681532,1,1
-0.14110166703516572,1,1
0.44107016029830887,1,1
0.34562795950647174,1,1
-1.1193514960567463,1,1
-0.8358061006569487,1,1
-0.3090494340761095,1,1
0.44308148470780695,1,1
-0.8722494578738369,1,1
-0.6717697598514141,1,1
-0.8532728040357862,1,1
-0.8625127344127965,1,1
-0.3154820446826007,1,1
-1.758834761584915,1,1
-1.6059631225806041,1,1
-0.63430932049848,1,1
-0.6568534668764818,1,1
-0.3655115075402498,1,1
-0.6565005841027954,1,1
-0.0248082598677735,1,1
-1.8558618803075595,1,1
-1.7080974380853595,1,1
-1.3289968422626266,1,1
0.6117717571156942,1,1
0.2590994672738335,1,1
-0.5466423915791341,1,1
0.29648162487600094,1,1
-0.18931608087661417,1,1
0.47934226217106457,1,1
0.2941218937518136,1,1
-0.636158453914419,1,1
0.06615832986928137,1,1
0.8860402061206346,1,1
-0.20974157772167656,1,1
0.0163747554988372,1,1
0.16121992453603753,1,1
-0.49972280480506054,1,1
0.030605254572692035,1,1
-0.07572049298107625,1,1
-1.0924851708265901,1,1
0.3267140597871294,1,1
0.1691023187848512,1,1
-0.3902093384989675,1,1
-1.4167218689842522,1,1
-0.09960978880585614,1,1
-0.2279958256329742,1,1
-0.8662540216640473,1,1
-1.757649129665082,1,1
-1.2933595838262428,1,1
-1.7608535523963118,1,1
-1.171584132372293,1,1
-1.119964137748223,1,1
-1.0466568247823802,1,1
-1.018062491217246,1,1
-0.5941563581325076,1,1
-0.10567246000791888,1,1
0.12927955183335113,1,1
-0.08342482537795941,1,1
-1.5463602131995444,1,1
-1.3303938478961155,1,1
0.9164202272633936,1,1
-0.9890294845691688,1,1
-1.3281889096652677,1,1
-0.37644137018454227,1,1
-0.24499242412470795,1,1
1.1329894555363187,1,1
0.3548742448750261,1,1
-0.8724097125779412,1,1
-0.2589668738856698,1,1
-0.6015266948401103,1,1
-1.5259947787277253,1,1
-1.455067192263278,1,1
-1.6831945072616492,1,1
0.42327521113463784,1,1
-0.11794353513348711,1,1
-0.7055706165219661,1,1
-1.407915618518736,1,1
0.4106599197828866,1,1
0.3519989532004339,1,1
0.19395662182311885,1,1
-1.313661644057959,1,1
0.3601132854790012,1,1
-0.22191727490600424,1,1
-0.6846135635109738,1,1
-1.3505584459624054,1,1
-1.0588658661091,1,1
-0.3294804665433344,1,1
-0.14339383663775204,1,1
0.330817176831588,1,1
0.00891032441853388,1,1
0.26578084810518204,1,1
-1.1259656312287116,1,1
-0.2009518371713044,1,1
-0.05611469416855982,1,1
